id,fin_year,month,state_code,state_name,district_code,district_name,report_date,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
487,2023-2024,Dec,31,UTTAR PRADESH,3165,BAGHPAT,2023-12-01,40905,227.445816119491,21,5,98.374642758,19,0,2152,40907,10815,2252,7,13,2.7348,194.150702758,1936,2175,5618,7221,16,16580,22023,2171,93.04126,12827,10,73.27,3.21,109,
488,2023-2024,Dec,31,UTTAR PRADESH,3175,BALRAMPUR,2023-12-01,4816551,213.651459213491,45,183,4605.18714772,13236,4,23233,4814717,1219863,42885,95989,3364,266.50976,15158.41003522,104717,116377,143484,170598,6469,172430,202183,36469,10286.7131275,2036939,44,49.08,13.93,100.95,
489,2023-2024,Dec,31,UTTAR PRADESH,3110,MORADABAD,2023-12-01,2987361,219.96006213975,41,182,1864.319095166,4766,3,16386,2937894,575456,38705,2156,132,89.40746,8415.920023166,70459,83275,133524,179552,1822,175146,240773,21152,6462.193468,823606,28,63.68,12.39,101.97,
490,2023-2024,Dec,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,2023-12-01,837948,222.722413986939,41,44,456.70699203,1471,4,8011,829002,234984,15204,1243,118,22.57429,2325.65454843,20141,22531,44869,51498,652,75962,91986,9482,1846.3732664,312458,18,33.94,46.12,104.68,
491,2023-2024,Dec,31,UTTAR PRADESH,3126,PILIBHIT,2023-12-01,2911291,223.280966759793,34,580,2681.626667158,10020,1,26869,2910030,437560,48427,6807,611,207.32959,9386.499374158,83421,102299,172011,256506,1899,212398,305934,36889,6497.543117,1123196,55,18.73,17.74,100.2,
492,2023-2024,Dec,31,UTTAR PRADESH,3129,SITAPUR,2023-12-01,9809543,224.063706166613,47,1057,8684.56518953399,22632,4,74231,9808334,3424958,248252,7547,390,426.43408,31087.915943134,206283,260229,420037,603856,9773,559917,779663,96863,21976.9166736,3299432,63,27.07,20.69,102.61,
493,2023-2024,Dec,31,UTTAR PRADESH,3130,HARDOI,2023-12-01,6906053,222.819616390493,46,437,4856.072444856,16557,3,57520,6902123,2257067,121553,8786,475,442.60499,20677.961426256,147822,162808,286738,344855,3230,390986,460429,74077,15379.2839914,1797399,49,29.03,21.65,103.82,
494,2023-2024,Dec,31,UTTAR PRADESH,3148,BARABANKI,2023-12-01,6704946,216.673538313683,50,385,7508.283319085,16726,1,34727,6704041,2738097,151667,1031,60,365.54896,22399.715123785,133420,159241,252836,340165,7555,350178,459752,51453,14525.8828447,2365575,45,21.67,33.01,99.98,
495,2023-2024,Dec,31,UTTAR PRADESH,3155,DEORIA,2023-12-01,3755743,216.872346099428,45,200,2738.38179944,11337,55,23436,3754372,857679,44279,126739,6354,305.65139,11186.22782714,81641,86965,156358,178210,3250,201584,228026,34773,8142.1946377,1537143,28,41.59,24.48,99.77,
496,2023-2024,Dec,31,UTTAR PRADESH,3181,AMETHI,2023-12-01,3802351,216.001320214635,46,168,3885.274129838,15115,0,35581,3802359,1042068,71955,106,2,193.41717,12291.836939138,80976,95429,169282,229344,2465,217076,285171,50696,8213.1456393,1597443,61,26.13,19.32,101.38,
497,2023-2024,Dec,31,UTTAR PRADESH,3184,SAMBHAL,2023-12-01,2229195,219.75227320027,37,257,2254.464284659,6896,7,17912,2272743,609137,41438,653,41,149.54268,7398.411371159,60712,70372,108255,136880,1605,137154,179099,24808,4994.4044065,623530,23,53.72,8.84,102.35,
498,2023-2024,Dec,31,UTTAR PRADESH,3124,BUDAUN,2023-12-01,2917982,217.445052987769,38,388,1407.946729161,6070,5,37257,2913880,571944,41636,2490,180,240.37028,7984.404919161,74797,83332,164523,197778,1550,212891,255907,43327,6336.08791,811614,52,36.53,21.32,101.93,
499,2023-2024,Dec,31,UTTAR PRADESH,3131,UNNAO,2023-12-01,3436891,224.818077027927,45,275,1744.371028372,10891,0,28971,3433482,1110674,86630,3900,384,216.21997,9679.679205872,76083,85365,179836,226507,2207,240965,300716,39862,7719.0882075,1249046,48,24.97,29.6,103.32,
500,2023-2024,Dec,31,UTTAR PRADESH,3138,JALAUN,2023-12-01,7807219,225.455125008816,55,721,3607.646250902,12508,1,23893,7798330,2294205,90025,542,11,202.87254,21392.253441002,139313,189271,182029,269259,8685,207292,307321,36401,17581.7346501,2945969,45,20.74,48.19,101.09,
501,2023-2024,Dec,31,UTTAR PRADESH,3140,LALITPUR,2023-12-01,3994095,222.373912755326,47,229,4509.86959471,13572,0,25401,3993963,841705,63726,248837,18990,153.12194,13544.52333181,84522,121672,148471,246815,7087,178188,290289,38973,8881.5317971,1729923,66,30.79,21.01,100.51,
502,2023-2024,Dec,31,UTTAR PRADESH,3143,FATEHPUR,2023-12-01,4419731,223.748026818423,47,510,2730.207343256,11799,7,45372,4418828,1423548,91665,2270,97,364.20759,12981.455391756,93577,104906,185780,232257,2802,245276,302161,57171,9887.0404585,2104217,70,31.67,11.38,100.36,
503,2023-2024,Dec,31,UTTAR PRADESH,3146,BAHRAICH,2023-12-01,10194449,219.313104702511,55,294,4776.772802763,26984,9,71066,10191131,1980228,85937,61291,2325,594.75547,27722.014073163,183348,214144,301834,376037,14294,376508,461695,98050,22350.4858004,4742199,67,31,12.57,100.85,
504,2023-2024,Dec,31,UTTAR PRADESH,3158,JAUNPUR,2023-12-01,10534406,219.535371049754,49,807,7059.07865753,20235,12,75475,10524788,3593363,140271,521,10,454.42719,30619.13823553,211494,221359,342025,372976,6969,435740,473236,95710,23105.632388,5525747,58,29.15,25.94,100.41,
505,2023-2024,Dec,31,UTTAR PRADESH,3161,VARANASI,2023-12-01,2126301,221.058764586785,41,238,1437.364980364,9272,0,21922,2125297,626191,56613,12527,1049,113.96082,6249.481092364,51532,66311,103174,156472,1412,140882,206040,31194,4698.155292,1154130,60,23.99,14.02,100.62,
506,2023-2024,Dec,31,UTTAR PRADESH,3163,SONBHADRA,2023-12-01,4271353,225.530232343685,42,641,3591.46010436901,16559,1,39984,4272593,1217268,94454,1245834,91495,222.19034,13449.639364369,99986,135291,203971,311277,7383,253890,379562,56543,9635.98892,2236882,73,35.91,25.69,100.15,
507,2023-2024,Dec,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,2023-12-01,6201,226.990162876955,16,1,0,5,14,263,6201,2118,348,116,15,0,14.07566,375,388,897,996,0,11330,12756,268,14.07566,1346,12,92.52,2.84,131.8,
508,2023-2024,Dec,31,UTTAR PRADESH,3176,SHRAVASTI,2023-12-01,2628531,222.627185000896,53,284,1671.778258936,8251,0,12252,2628317,672863,38201,21775,1205,86.66786,7609.794268936,49446,59749,93391,130636,2517,114571,155656,20503,5851.34815,1104799,49,48.17,14.98,100.51,
509,2023-2024,Dec,31,UTTAR PRADESH,3180,KASHGANJ,2023-12-01,2380699,222.15472764585,40,431,2545.302288503,3097,0,10743,2380889,515709,30451,2383,95,112.92317,7947.482932003,59399,69760,96509,133036,1094,110534,149189,13840,5289.2574735,624071,25,43.94,13.26,101.44,
510,2023-2024,Dec,31,UTTAR PRADESH,3182,HAPUR,2023-12-01,272147,216.412957507917,46,17,0,400,0,1705,271580,136519,5084,49,7,0,587.73431,5801,6270,10511,11549,344,15836,19060,2105,587.73431,115136,20,41.28,10.46,100.88,
511,2023-2024,Dec,31,UTTAR PRADESH,3115,MEERUT,2023-12-01,747419,225.10408088742,46,31,472.85302641,921,5,7248,747335,322443,14708,4977,160,4.23507,2159.36967931,16137,17879,28430,33446,760,45326,55707,8169,1682.2815829,284714,22,57.6,15.31,102.61,
512,2023-2024,Dec,31,UTTAR PRADESH,3119,MATHURA,2023-12-01,2542186,225.353028304203,43,91,2367.645354978,2608,20,15835,2541036,687854,43630,4406,299,112.7862,8206.733131278,58606,73230,105719,143137,2145,130442,177516,18443,5726.3015763,1009258,13,49.49,21.68,99.81,
513,2023-2024,Dec,31,UTTAR PRADESH,3121,FIROZABAD,2023-12-01,3680840,223.070717760233,47,299,3357.267166183,9686,7,15800,3692598,1001660,32988,3148,133,78.77164,11673.143668783,77679,81409,104126,113630,1995,132618,148053,25486,8237.1048626,1525008,30,47.9,17.02,99.87,
514,2023-2024,Dec,31,UTTAR PRADESH,3123,MAINPURI,2023-12-01,3938352,219.725975358248,44,194,1525.396888164,9938,3,20698,3937707,1012234,49789,5837,344,151.31954,10328.881540664,87573,102564,139100,179914,3106,183901,232129,30636,8652.16511249999,1410500,40,43.78,17.36,99.98,
515,2023-2024,Dec,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2023-12-01,3553104,220.251984769326,38,548,2755.334592664,22805,0,32672,3553093,992864,85649,1648,97,311.54126,10892.633705864,92478,112379,206389,280265,2084,276114,361516,55477,7825.7578532,1129275,60,19.19,19.81,101.04,
516,2023-2024,Dec,31,UTTAR PRADESH,3132,LUCKNOW,2023-12-01,1199451,222.018185569898,38,140,1419.535196482,3424,5,14258,1199451,721584,72946,3711,324,139.11854,4221.653083482,31118,36956,80164,113189,997,127105,187649,17682,2662.999347,413455,37,32.35,16.58,101.15,
517,2023-2024,Dec,31,UTTAR PRADESH,3134,FARRUKHABAD,2023-12-01,2173367,221.760270574972,47,85,2146.6966277,6464,8,19043,2173150,461287,24823,0,1,121.90299,7087.7829377,46042,49731,87281,99521,1546,108102,122280,25507,4819.18332,649464,45,34.64,29.26,100.72,
518,2023-2024,Dec,31,UTTAR PRADESH,3142,BANDA,2023-12-01,3332742,223.378374984953,47,302,1421.358971222,10869,2,48518,3331243,613251,69013,191,26,182.85445,9045.489901422,70128,94817,163280,263353,1873,209087,327561,59387,7441.2764802,1716252,83,36.79,13.87,101.45,
519,2023-2024,Dec,31,UTTAR PRADESH,3145,PRAYAGRAJ,2023-12-01,6036739,224.423011084506,46,381,5158.5958752,26379,3,57951,6031933,2312792,198314,3074,190,311.74817,19007.3897104,128953,160012,299560,421293,4721,407716,554642,84330,13537.0456652,3097080,66,20.94,21.85,101.7,
520,2023-2024,Dec,31,UTTAR PRADESH,3157,AZAMGARH,2023-12-01,7686207,221.188376575246,46,374,6311.282982424,28742,14,70079,7681976,2699664,147933,17356,766,492.50289,23795.423875724,165336,177969,326933,377584,3401,417356,499792,98821,16991.6380033,3835516,64,19.78,32.47,100.83,
521,2023-2024,Dec,31,UTTAR PRADESH,3159,BALLIA,2023-12-01,4346067,224.400545151439,46,184,3348.144093414,21658,8,34721,4341711,786853,57462,147232,9506,293.52272,13384.489966314,94246,104629,195191,242649,1701,268576,324503,56379,9742.8231529,2262638,56,26.14,22.16,100.02,
522,2023-2024,Dec,31,UTTAR PRADESH,3160,GHAZIPUR,2023-12-01,7920330,217.021399159159,42,566,5519.796414528,14054,1,48711,7908507,1753226,112909,75271,3903,319.63604,23002.584998528,187286,219490,323682,427645,2317,407180,526492,62765,17163.152544,3649355,57,34.42,21.2,99.85,
523,2023-2024,Dec,31,UTTAR PRADESH,3162,MIRZAPUR,2023-12-01,3704744,223.659090848718,42,466,3380.226140201,11206,1,30586,3704235,1417092,129251,38900,3237,226.85914,11891.943604101,87312,112900,202155,301110,2337,259947,375633,41792,8284.8583239,1874542,58,39.32,14.2,100.24,
524,2023-2024,Dec,31,UTTAR PRADESH,3166,HATHRAS,2023-12-01,1132212,214.074940586268,35,32,737.258997781,2412,12,10140,1129621,369275,27959,1032,63,74.19156,3229.686042381,31882,37827,64607,84619,849,75718,98240,12552,2418.2354846,258662,13,61.48,7.45,100.41,
525,2023-2024,Dec,31,UTTAR PRADESH,3168,KANNAUJ,2023-12-01,2527237,223.679666762388,42,329,1108.587189264,9287,4,17707,2528166,725397,44853,117,3,173.5601,6937.140573264,59294,66645,102265,128809,2066,127428,159906,26994,5654.993284,674140,44,34.47,24.25,101.69,
526,2023-2024,Dec,31,UTTAR PRADESH,3169,AURAIYA,2023-12-01,1860732,218.662058480796,39,179,1830.990269768,5003,0,15091,1860474,792607,47647,6812,388,153.70315,6052.844165668,46881,52916,87188,109352,962,117624,143803,20094,4068.1507459,509060,38,39.92,6.28,100.69,
527,2023-2024,Dec,31,UTTAR PRADESH,3170,KAUSHAMBI,2023-12-01,1876309,219.637063661285,39,159,3314.857403664,7510,46,20499,1871310,761950,69266,1593,97,104.00889,7528.956629664,47566,56908,105508,146769,885,133012,180963,28009,4110.090336,914514,65,33.19,38,102.55,
528,2023-2024,Dec,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2023-12-01,1704938,223.546939973123,44,48,1468.132172901,6524,13,18263,1704070,572244,43479,5652,357,178.35823,5455.886742901,38586,45914,81486,109645,943,103375,135759,24787,3809.39634,1011718,67,24.98,27.1,101.48,
529,2023-2024,Dec,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2023-12-01,6378275,219.852899477366,49,246,7355.861758793,17146,10,43440,6370993,2079765,84125,5307,215,249.76417,21612.438764793,127475,141330,201931,241332,5722,233707,276366,60586,14006.812836,3586309,57,27.89,25.48,99.85,
530,2023-2024,Dec,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2023-12-01,4089761,217.779808412042,44,175,4681.46192617,8522,0,50324,4094725,1349141,95342,9268,537,234.93052,13833.87670617,91407,105588,184048,242941,2600,235714,304530,58846,8917.48426,2084143,55,35.48,21.89,100.5,
531,2023-2024,Nov,31,UTTAR PRADESH,3121,FIROZABAD,2023-11-01,3468244,224.496607515532,45,225,3357.267166183,5710,7,18638,3479674,946975,32966,3029,133,78.77164,11247.788888783,75857,79475,104061,113554,1442,132372,154517,24348,7811.7500826,1442752,31,49.53,18.01,99.82,
532,2023-2024,Nov,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2023-11-01,3136765,220.080584362051,35,520,2755.334592664,17208,0,37382,3136754,877661,85592,1418,97,311.54126,9970.262385864,87686,106512,206175,280032,888,275760,363663,54590,6903.3865332,1004731,60,18.93,19.85,101.09,
533,2023-2024,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,2023-11-01,1740873,226.088234516712,36,215,1372.348451083,6937,2,22948,1740328,690345,58945,1454,145,117.67426,5424.699561083,47074,55398,107210,141706,759,143587,186242,29885,3934.67685,570575,52,38.61,15.28,100.77,
534,2023-2024,Nov,31,UTTAR PRADESH,3138,JALAUN,2023-11-01,7511794,225.792443606258,54,673,3607.646250902,11139,1,24735,7507216,2220295,90009,537,11,202.87254,20761.245244102,137345,186587,181932,269148,6102,207133,320046,35874,16950.7264532,2842295,44,20.64,48.99,101.09,
535,2023-2024,Nov,31,UTTAR PRADESH,3141,HAMIRPUR,2023-11-01,3678541,219.773517492732,51,159,2326.240143597,5272,0,22893,3677756,695173,49141,820,60,84.71752,10493.691389597,70750,99975,129035,209137,3808,159923,265713,28165,8082.733726,1554565,61,48.12,18.61,101.05,
536,2023-2024,Nov,31,UTTAR PRADESH,3142,BANDA,2023-11-01,3094457,222.904085320855,46,233,1421.358971222,9575,2,47563,3093593,585417,69006,154,26,182.85445,8499.958601422,65936,89684,163239,263308,1630,209028,328960,57138,6895.7451802,1584197,82,37.77,14.32,101.21,
537,2023-2024,Nov,31,UTTAR PRADESH,3157,AZAMGARH,2023-11-01,7027892,221.848695170254,44,342,6311.282982424,25444,14,70839,7025338,2470238,147832,15793,765,492.50289,22389.406556724,159238,171257,326590,377211,2151,416820,500054,96283,15585.6206843,3510559,63,19.65,32.88,100.89,
538,2023-2024,Nov,31,UTTAR PRADESH,3160,GHAZIPUR,2023-11-01,7194454,219.705019823756,39,499,5519.796414528,11015,1,50436,7184814,1606988,112897,69190,3901,319.63604,21624.829477528,180031,210568,323628,427586,1605,407002,527813,61451,15785.397023,3313541,56,34.89,22.11,99.81,
539,2023-2024,Nov,31,UTTAR PRADESH,3169,AURAIYA,2023-11-01,1667407,222.192631227586,37,162,1830.990269768,4009,1,15790,1667199,709619,47626,6363,388,153.70315,5689.086745668,44939,50586,87077,109233,519,117411,154680,19799,3704.3933259,456678,38,39.25,6.52,100.52,
540,2023-2024,Nov,31,UTTAR PRADESH,3170,KAUSHAMBI,2023-11-01,1716139,222.951956945678,37,149,3314.857403664,6762,46,20706,1713742,708049,69240,1511,97,104.00889,7239.687619664,45633,54491,105463,146720,723,132939,181437,27468,3820.821326,835888,64,33.64,38.84,102.21,
541,2023-2024,Nov,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2023-11-01,1569109,227.475934629033,42,47,1468.132172901,5677,13,18991,1568831,528595,43460,5037,357,178.35823,5215.203382901,37314,44253,81415,109568,451,103260,135992,24668,3568.71298,936404,67,23.67,26.93,100.67,
542,2023-2024,Nov,31,UTTAR PRADESH,3179,MAHOBA,2023-11-01,1301055,221.705261499322,50,71,2091.94285326,4044,1,13314,1301055,259797,32576,1186,123,82.85453,5059.30477326,25614,36353,61019,109682,1669,78393,137644,17358,2884.50739,519805,63,44.05,14.24,100.85,
543,2023-2024,Nov,31,UTTAR PRADESH,3184,SAMBHAL,2023-11-01,2039488,215.214038765787,35,244,2254.464284659,6274,7,18249,2081423,557937,41415,616,41,149.54268,6883.521466759,58974,68197,108099,136697,1145,136896,180049,24523,4479.5145021,572038,22,54.08,8.48,102.12,
544,2023-2024,Nov,31,UTTAR PRADESH,3112,SAHARANPUR,2023-11-01,1538922,219.887404990478,28,144,1204.643875472,2140,3,21133,1538530,733055,83222,3074,300,79.70388,4667.381447472,53327,63905,111431,160427,679,159763,220817,23273,3383.033692,600676,29,49.68,20.62,100.91,
545,2023-2024,Nov,31,UTTAR PRADESH,3116,GHAZIABAD,2023-11-01,1,267.347222222222,14,0,0,2,143,31,216,13,17,0,0,0,0.57747,15,16,40,52,0,14794,22191,33,0.57747,65,33,54.04,0.51,100,
546,2023-2024,Nov,31,UTTAR PRADESH,3118,ALIGARH,2023-11-01,2734724,221.112979769575,34,192,2850.359954896,5662,1,22609,2734594,656845,45076,3344,245,93.07244,8989.974672896,78230,87470,147061,177681,1170,182188,223666,28271,6046.542278,740733,25,44.02,30.94,99.9,
547,2023-2024,Nov,31,UTTAR PRADESH,3119,MATHURA,2023-11-01,2344678,222.72490905127,41,89,2367.645354978,2415,20,15420,2343848,636279,43618,3765,299,112.7862,7700.764881278,56909,71030,105687,143103,838,130385,181914,17835,5220.3333263,932345,11,49.91,22.2,99.82,
548,2023-2024,Nov,31,UTTAR PRADESH,3120,AGRA,2023-11-01,4235855,225.7387602212,48,267,2520.496901171,4769,0,21802,4222963,1193697,56943,17444,848,137.91555,12191.276771971,86866,110685,134569,186545,5067,168131,230558,26571,9532.8643208,1675548,43,51.4,20.4,100.44,
549,2023-2024,Nov,31,UTTAR PRADESH,3122,ETAH,2023-11-01,2629754,225.665918309732,46,184,2441.863067177,9200,3,15503,2628269,480260,25863,717,46,171.71102,8544.681461677,56911,63619,100045,124589,2057,132849,168061,24703,5931.1073745,922581,35,33.29,26.23,101.63,
550,2023-2024,Nov,31,UTTAR PRADESH,3123,MAINPURI,2023-11-01,3589870,221.358662612745,42,186,1525.396888164,7947,3,21696,3589611,921848,49685,5329,344,151.31954,9622.63133076399,84871,99184,138706,179427,2430,183383,233755,29643,7945.91490259999,1292727,41,44.05,17.96,100,
551,2023-2024,Nov,31,UTTAR PRADESH,3129,SITAPUR,2023-11-01,8694209,224.205432022083,44,973,8684.565189534,20109,4,74945,8693919,3012274,248113,6292,390,426.43408,28603.237923134,193770,243807,419584,603319,6701,559160,786136,95054,19492.2386536,2958143,62,26.51,20.52,102.78,
552,2023-2024,Nov,31,UTTAR PRADESH,3146,BAHRAICH,2023-11-01,9294124,218.862633839033,52,261,4776.772802763,23110,9,73318,9291684,1801492,85857,58056,2325,594.75547,25707.552603163,176264,205437,300765,374794,10982,375008,465050,96428,20336.0243304,4323538,66,29.57,12.79,100.88,
553,2023-2024,Nov,31,UTTAR PRADESH,3150,SULTANPUR,2023-11-01,5986920,220.342033194418,50,362,6192.141821206,12582,5,48055,5986850,1423614,74964,11908,453,218.88023,19602.569065506,119468,129278,222177,260047,4051,275952,321042,60637,13191.5470143,3132720,64,22.87,16.46,103.06,
554,2023-2024,Nov,31,UTTAR PRADESH,3153,BASTI,2023-11-01,9532014,222.969357630765,47,257,12347.979722213,16391,15,41303,9531652,2488806,108897,418,12,319.03212,33919.675078213,199136,227511,319755,400815,4057,383915,484295,57694,21252.663236,4882807,36,38.98,29.54,101.2,
555,2023-2024,Nov,31,UTTAR PRADESH,3162,MIRZAPUR,2023-11-01,3457432,223.695607613339,40,389,3319.594680201,10630,1,30932,3457248,1324315,129232,35922,3237,226.85914,11280.165740501,84956,109742,202107,301058,1493,259875,382352,41562,7733.7119203,1746450,57,39.15,14.26,100.25,
556,2023-2024,Nov,31,UTTAR PRADESH,3166,HATHRAS,2023-11-01,1036855,214.126001333336,33,30,737.258997781,2172,12,10268,1036498,340295,27941,996,63,74.19156,3030.862279081,30935,36599,64572,84577,488,75659,99482,12440,2219.4117213,236541,13,61.84,7.72,100.29,
557,2023-2024,Nov,31,UTTAR PRADESH,3176,SHRAVASTI,2023-11-01,2350465,220.389149806528,50,246,1671.778258936,7047,0,12844,2350465,604989,38199,17579,1203,86.66786,6938.615948936,46536,56014,93336,130574,1796,114502,157828,19891,5180.16983,990018,48,45.9,16.51,100.49,
558,2023-2024,Nov,31,UTTAR PRADESH,3110,MORADABAD,2023-11-01,2671803,219.756227388627,38,173,1864.319095166,3963,3,16907,2627273,519411,38701,2024,132,89.40746,7727.322583166,67620,79714,133468,179487,1070,175054,241211,20870,5773.596028,736530,28,62.5,13.04,101.75,
559,2023-2024,Nov,31,UTTAR PRADESH,3128,KHERI,2023-11-01,6274295,217.593640047208,41,838,5104.843038325,24623,2,48723,6274295,2069361,184451,92946,8814,350.04018,19107.350096125,150940,184552,342600,479751,4604,450559,618969,73346,13652.4668778,1768864,58,32.74,14.41,100.22,
560,2023-2024,Nov,31,UTTAR PRADESH,3133,RAE BARELI,2023-11-01,3187723,220.28078808853,35,263,6349.34601105,16269,2,34980,3187751,1402681,168540,1433,246,293.03112,13664.38015615,90050,109289,229228,344092,1704,293777,424816,51249,7022.0030251,1435086,44,25.55,20.65,100.52,
561,2023-2024,Nov,31,UTTAR PRADESH,3135,ETAWAH,2023-11-01,1831822,220.635450734749,39,151,1484.539280138,4357,0,16363,1831443,629008,46063,2207,151,121.01176,5646.363558138,46585,52231,102182,124501,1324,124463,158191,20720,4040.812518,514952,37,27.06,25.65,100.6,
562,2023-2024,Nov,31,UTTAR PRADESH,3139,JHANSI,2023-11-01,3935542,222.325557790876,56,378,2568.884713934,4793,1,26828,3934808,1223152,73479,33484,1747,221.25594,11538.224487934,69112,97615,133251,210664,4679,163907,254500,31621,8748.083834,1589354,54,30.48,25.06,100.6,
563,2023-2024,Nov,31,UTTAR PRADESH,3149,AYODHYA,2023-11-01,2974752,223.235940946434,40,107,5231.48484447401,9481,0,24097,2974723,1054956,93304,4218,361,248.69742,12120.833144074,74091,83107,176948,242794,2011,225919,302059,33578,6640.6508796,1416116,39,30.56,25.5,100.4,
564,2023-2024,Nov,31,UTTAR PRADESH,3154,GORAKHPUR,2023-11-01,5414874,219.220674704808,47,171,5216.30455577,7269,6,38238,5414353,1832821,100765,7285,366,358.21412,17443.89985327,114188,125066,236747,289543,4793,320697,383134,45507,11869.3811775,2565279,42,26.58,35.49,100.31,
565,2023-2024,Nov,31,UTTAR PRADESH,3156,MAU,2023-11-01,4019026,217.566425816073,42,341,4661.723003802,10940,10,20163,4018148,1355240,85077,58325,3243,217.96505,13621.829041402,94414,107525,188044,237927,1707,244197,304026,31103,8742.14098760001,2119891,44,27.43,34.47,100.08,
566,2023-2024,Nov,31,UTTAR PRADESH,3159,BALLIA,2023-11-01,4038176,224.755310240443,44,168,3229.958189414,16819,8,38001,4034806,726248,57442,137566,9504,293.52272,12591.921652314,91356,101301,195119,242561,1198,268407,330690,54820,9068.4407429,2122039,56,27.03,22.7,100.03,
567,2023-2024,Nov,31,UTTAR PRADESH,3167,AMROHA,2023-11-01,2996836,222.883652895328,41,138,3069.276188514,7842,1,13110,2994359,724463,45235,1533,65,148.63507,9891.847978514,71968,86454,119489,165651,4609,143514,197471,20952,6673.93672,772824,27,40.22,47.37,101.37,
568,2023-2024,Nov,31,UTTAR PRADESH,3171,CHANDAULI,2023-11-01,4064475,223.3704281924,46,220,3458.242909464,11370,6,22531,4064528,1118893,68574,21196,1064,231.15009,12768.346597064,87675,115704,147621,219285,2203,174139,255807,33901,9078.9535976,1589125,41,47.99,18.48,107.86,
569,2023-2024,Nov,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2023-11-01,5817417,217.784086740728,47,229,7355.861758793,15547,12,44045,5812725,1902297,84125,4755,215,249.76417,20264.815984793,123152,136257,201924,241325,4117,233691,276400,59592,12659.190056,3273963,57,27.07,26.42,99.84,
570,2023-2024,Nov,31,UTTAR PRADESH,3175,BALRAMPUR,2023-11-01,4156151,214.245546773933,41,181,4605.18714772,12523,4,23466,4155648,1052906,42859,79984,3363,266.50976,13774.98768732,100073,110887,143367,170459,4078,172236,207556,35989,8903.2907796,1762064,44,48.71,12.99,100.97,
571,2023-2024,Nov,31,UTTAR PRADESH,3177,CHITRAKOOT,2023-11-01,2165964,222.284667978398,44,221,2318.932117286,5147,7,22831,2166094,800217,76133,378,30,146.14973,7279.976703286,48668,66260,109616,177512,1974,131542,219624,27978,4814.894856,1004835,75,42.31,6.65,99.99,
572,2023-2024,Nov,31,UTTAR PRADESH,3181,AMETHI,2023-11-01,3349548,221.138364013064,43,157,3885.274129838,13327,0,36446,3349660,909607,71922,106,2,193.41717,11486.074623838,76584,89976,169138,229179,1696,216894,289551,49773,7407.383324,1423036,61,26.05,19.42,101.31,
573,2023-2024,Nov,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,2023-11-01,765471,220.345574390632,38,44,456.70699203,1191,4,8174,757629,214387,15202,1151,118,22.57429,2148.68325383,19604,21907,44822,51428,387,75891,94971,9365,1669.4019718,285519,19,34.96,46.36,104.93,
574,2023-2024,Nov,31,UTTAR PRADESH,3124,BUDAUN,2023-11-01,2594946,216.944743412441,36,358,1407.946729161,5069,6,36478,2592994,517373,41581,2276,180,240.37028,7273.681189161,70597,78569,164066,197246,1092,212245,256096,41547,5625.36418,729364,50,37.78,19.15,101.63,
575,2023-2024,Nov,31,UTTAR PRADESH,3125,BAREILLY,2023-11-01,3129025,222.392908158438,32,1124,1549.519952325,8999,2,34147,3128736,641995,68176,2009,167,264.1497,8771.756631325,96878,118430,215669,301163,1299,259690,356401,43146,6958.086979,744756,46,40.8,15.38,101.47,
576,2023-2024,Nov,31,UTTAR PRADESH,3126,PILIBHIT,2023-11-01,2635859,221.816583127759,33,538,2681.626667158,8854,1,27577,2635299,394231,48406,6153,611,207.32959,8734.486454158,79474,97100,171883,256359,1148,212197,305877,36431,5845.530197,1047271,55,18.82,18.04,100.21,
577,2023-2024,Nov,31,UTTAR PRADESH,3131,UNNAO,2023-11-01,3157968,224.867973288505,42,257,1744.371028372,9779,0,29730,3155121,1021280,86600,3659,382,216.21997,9055.447645872,73477,82278,179673,226334,1569,240748,302011,39509,7094.8566475,1154812,48,25.53,32.16,103.63,
